Yahoo_Ticker,Year,Date,Ticker,Env_Score,Soc_Score,ESG_Score,Entreprise,Return
GOOGL,2025,2025-12-31,GOOGL US Equity,5.21,2.56,4.26,Alphabet (Google),0.6599356766638873
GOOGL,2026,2026-12-31,GOOGL US Equity,5.21,2.56,4.26,Alphabet (Google),0.0806709265175718
LITE,2016,2016-12-31,LITE US Equity,0.0,0.99,1.71,Lumentum,0.7552225577839138
LITE,2017,2017-12-31,LITE US Equity,0.0,0.99,1.71,Lumentum,0.26520050699446673
LITE,2018,2018-12-31,LITE US Equity,0.0,0.99,1.89,Lumentum,-0.14089985663291582
LITE,2019,2019-12-31,LITE US Equity,0.0,1.49,2.13,Lumentum,0.8876459466819533
LITE,2020,2020-12-31,LITE US Equity,1.0,2.46,3.11,Lumentum,0.19546026990545506
LITE,2021,2021-12-31,LITE US Equity,1.0,2.46,3.11,Lumentum,0.11571722825071351
LITE,2022,2022-12-31,LITE US Equity,1.0,4.24,4.05,Lumentum,-0.5067599524939075
LITE,2023,2023-12-31,LITE US Equity,1.0,4.24,4.05,Lumentum,0.00479202623681152
LITE,2024,2024-12-31,LITE US Equity,1.0,3.98,3.73,Lumentum,0.6014879794096577
LITE,2025,2025-12-31,LITE US Equity,1.0,3.98,3.73,Lumentum,3.3905897526731055
LITE,2026,2026-12-31,LITE US Equity,1.0,3.98,3.73,Lumentum,0.03486260134888708
LRCX,2016,2016-12-31,LRCX US Equity,4.31,1.82,4.42,Lam Research,0.35178694850943115
LRCX,2017,2017-12-31,LRCX US Equity,4.31,1.82,4.42,Lam Research,0.7620692755933398
LRCX,2018,2018-12-31,LRCX US Equity,5.3,2.08,4.81,Lam Research,-0.24400808431824095
LRCX,2019,2019-12-31,LRCX US Equity,5.4,4.94,5.96,Lam Research,1.1933347264085516
LRCX,2020,2020-12-31,LRCX US Equity,4.79,4.99,5.64,Lam Research,0.6418039944511009
LRCX,2021,2021-12-31,LRCX US Equity,4.79,4.99,5.64,Lam Research,0.5366267342902489
LRCX,2022,2022-12-31,LRCX US Equity,5.22,3.18,5.25,Lam Research,-0.4072314115194253
LRCX,2023,2023-12-31,LRCX US Equity,5.16,2.99,5.08,Lam Research,0.8862906260436354
LRCX,2024,2024-12-31,LRCX US Equity,5.16,2.99,5.08,Lam Research,-0.06844764244592305
LRCX,2025,2025-12-31,LRCX US Equity,5.21,2.68,4.96,Lam Research,1.3916329901584152
LRCX,2026,2026-12-31,LRCX US Equity,5.21,2.68,4.96,Lam Research,0.44976053737182276
META,2016,2016-12-31,META US Equity,2.64,0.77,2.28,Meta Platforms,0.09927397637863189
META,2017,2017-12-31,META US Equity,3.67,0.82,2.68,Meta Platforms,0.5337678998944122
META,2018,2018-12-31,META US Equity,5.85,1.32,3.46,Meta Platforms,-0.257112211476889
META,2019,2019-12-31,META US Equity,5.76,1.41,3.5,Meta Platforms,0.565718316482483
META,2020,2020-12-31,META US Equity,7.35,1.18,3.76,Meta Platforms,0.3308648914347212
META,2021,2021-12-31,META US Equity,7.35,1.18,3.76,Meta Platforms,0.23132945940156713
META,2022,2022-12-31,META US Equity,7.61,1.84,4.26,Meta Platforms,-0.6422179602288192
META,2023,2023-12-31,META US Equity,7.31,2.03,4.23,Meta Platforms,1.941333272896685
META,2024,2024-12-31,META US Equity,7.31,2.03,4.23,Meta Platforms,0.6604890579637983
META,2025,2025-12-31,META US Equity,7.31,2.03,4.23,Meta Platforms,0.1309310558513881
META,2026,2026-12-31,META US Equity,7.31,2.03,4.23,Meta Platforms,0.11849894335739108
MPWR,2016,2016-12-31,MPWR US Equity,0.0,1.62,1.93,Monolithic Power Systems,0.3006777953846207
MPWR,2017,2017-12-31,MPWR US Equity,0.0,1.62,1.88,Monolithic Power Systems,0.38227196028971044
MPWR,2018,2018-12-31,MPWR US Equity,1.42,1.62,2.62,Monolithic Power Systems,0.04485907785170662
MPWR,2019,2019-12-31,MPWR US Equity,1.44,2.15,2.76,Monolithic Power Systems,0.5480043371486438
MPWR,2020,2020-12-31,MPWR US Equity,1.37,2.37,2.71,Monolithic Power Systems,1.074907666979747
MPWR,2021,2021-12-31,MPWR US Equity,3.56,2.07,3.67,Monolithic Power Systems,0.3548803393089228
MPWR,2022,2022-12-31,MPWR US Equity,3.56,2.07,3.67,Monolithic Power Systems,-0.2777922185588837
MPWR,2023,2023-12-31,MPWR US Equity,4.95,2.49,4.49,Monolithic Power Systems,0.7977597619680865
MPWR,2024,2024-12-31,MPWR US Equity,4.95,2.49,4.49,Monolithic Power Systems,-0.05551157912770677
MPWR,2025,2025-12-31,MPWR US Equity,4.95,2.49,4.49,Monolithic Power Systems,0.5445046364359223
MPWR,2026,2026-12-31,MPWR US Equity,4.95,2.49,4.49,Monolithic Power Systems,0.30538642872140653
MSFT,2016,2016-12-31,MSFT US Equity,6.55,0.63,4.09,Microsoft,0.15077741775417786
MSFT,2017,2017-12-31,MSFT US Equity,6.55,0.63,4.09,Microsoft,0.4073060776575088
MSFT,2018,2018-12-31,MSFT US Equity,6.0,0.91,4.11,Microsoft,0.20795307153458653
MSFT,2019,2019-12-31,MSFT US Equity,5.79,0.91,4.02,Microsoft,0.5755812203176092
MSFT,2020,2020-12-31,MSFT US Equity,5.65,1.73,4.54,Microsoft,0.4253405409768105
MSFT,2021,2021-12-31,MSFT US Equity,6.28,3.4,5.47,Microsoft,0.5247689830952116
MSFT,2022,2022-12-31,MSFT US Equity,6.1,4.33,5.87,Microsoft,-0.2802474267061754
MSFT,2023,2023-12-31,MSFT US Equity,5.62,3.03,5.12,Microsoft,0.5819127815297158
MSFT,2024,2024-12-31,MSFT US Equity,5.62,3.03,5.12,Microsoft,0.1292732478503933
MSFT,2025,2025-12-31,MSFT US Equity,5.62,3.03,5.12,Microsoft,0.15584236748109426
MSFT,2026,2026-12-31,MSFT US Equity,5.62,3.03,5.12,Microsoft,-0.10363507634758307
MU,2016,2016-12-31,MU US Equity,2.38,2.53,3.72,Micron Technology,0.5480221285473557
MU,2017,2017-12-31,MU US Equity,2.38,2.53,3.72,Micron Technology,0.8759128728934551
MU,2018,2018-12-31,MU US Equity,3.99,3.34,4.6,Micron Technology,-0.22835596363317934
MU,2019,2019-12-31,MU US Equity,3.79,4.39,5.08,Micron Technology,0.6949255210330174
MU,2020,2020-12-31,MU US Equity,3.79,4.39,5.08,Micron Technology,0.3979178034868156
MU,2021,2021-12-31,MU US Equity,3.6,6.47,5.64,Micron Technology,0.24208105851665263
MU,2022,2022-12-31,MU US Equity,4.92,5.73,5.96,Micron Technology,-0.45929736069379323
MU,2023,2023-12-31,MU US Equity,4.92,5.73,5.96,Micron Technology,0.7193119420071512
MU,2024,2024-12-31,MU US Equity,3.98,6.06,5.63,Micron Technology,-0.009614275120046756
MU,2025,2025-12-31,MU US Equity,3.98,6.06,5.63,Micron Technology,2.4023926906318933
MU,2026,2026-12-31,MU US Equity,3.98,6.06,5.63,Micron Technology,0.5268911494106006
NVDA,2016,2016-12-31,NVDA US Equity,6.48,3.49,5.66,NVIDIA,2.2696026262892706
NVDA,2017,2017-12-31,NVDA US Equity,6.52,3.81,5.77,NVIDIA,0.8198789192981857
NVDA,2018,2018-12-31,NVDA US Equity,6.91,5.75,6.51,NVIDIA,-0.30815245500830146
NVDA,2019,2019-12-31,NVDA US Equity,6.88,5.76,6.46,NVIDIA,0.7694302746386656
NVDA,2020,2020-12-31,NVDA US Equity,6.67,7.12,6.78,NVIDIA,1.2229564711864502
NVDA,2021,2021-12-31,NVDA US Equity,6.55,7.91,7.05,NVIDIA,1.254821083352807
NVDA,2022,2022-12-31,NVDA US Equity,6.45,6.29,6.46,NVIDIA,-0.5026463899791695
NVDA,2023,2023-12-31,NVDA US Equity,6.95,6.4,6.66,NVIDIA,2.39017175090077
NVDA,2024,2024-12-31,NVDA US Equity,7.13,6.54,6.81,NVIDIA,1.7124928909543495
NVDA,2025,2025-12-31,NVDA US Equity,7.13,6.54,6.81,NVIDIA,0.3891653083740121
NVDA,2026,2026-12-31,NVDA US Equity,7.13,6.54,6.81,NVIDIA,0.0322251716184232
TSEM,2016,2016-12-31,TSEM IT Equity,0.0,1.03,1.88,Tower Semiconductor,0.3534850724538101
TSEM,2017,2017-12-31,TSEM IT Equity,0.0,1.03,1.85,Tower Semiconductor,0.790856573902841
TSEM,2018,2018-12-31,TSEM IT Equity,0.0,1.03,1.85,Tower Semiconductor,-0.5674882928648599
TSEM,2019,2019-12-31,TSEM IT Equity,1.88,1.29,2.86,Tower Semiconductor,0.6322930691685629
TSEM,2020,2020-12-31,TSEM IT Equity,1.79,1.62,2.89,Tower Semiconductor,0.07315046832703254
TSEM,2021,2021-12-31,TSEM IT Equity,1.26,2.29,2.82,Tower Semiconductor,0.5367932135618843
TSEM,2022,2022-12-31,TSEM IT Equity,1.26,2.29,2.82,Tower Semiconductor,0.08870968827347836
TSEM,2023,2023-12-31,TSEM IT Equity,2.98,3.26,3.99,Tower Semiconductor,-0.29351852039904913
TSEM,2024,2024-12-31,TSEM IT Equity,2.98,3.26,3.99,Tower Semiconductor,0.6877456601882226
TSEM,2025,2025-12-31,TSEM IT Equity,2.98,3.26,3.99,Tower Semiconductor,1.2795574062338715
TSEM,2026,2026-12-31,TSEM IT Equity,2.98,3.26,3.99,Tower Semiconductor,0.14724926600701194
TSLA,2016,2016-12-31,TSLA US Equity,1.65,3.11,3.06,Tesla,-0.1096621296709317
TSLA,2017,2017-12-31,TSLA US Equity,1.65,3.11,3.06,Tesla,0.45701711084217744
TSLA,2018,2018-12-31,TSLA US Equity,1.65,4.31,3.36,Tesla,0.0688935444900336
TSLA,2019,2019-12-31,TSLA US Equity,1.95,4.34,3.5,Tesla,0.2570011888547681
TSLA,2020,2020-12-31,TSLA US Equity,1.95,4.34,3.5,Tesla,7.434369946079432
TSLA,2021,2021-12-31,TSLA US Equity,5.62,4.68,5.32,Tesla,0.4975555924013577
TSLA,2022,2022-12-31,TSLA US Equity,4.62,4.66,5.03,Tesla,-0.6503151169866452
TSLA,2023,2023-12-31,TSLA US Equity,4.62,4.66,5.03,Tesla,1.0172105464518206
TSLA,2024,2024-12-31,TSLA US Equity,4.78,4.89,5.09,Tesla,0.6252414813331912
TSLA,2025,2025-12-31,TSLA US Equity,4.62,5.05,5.01,Tesla,0.11360936335891059
TSLA,2026,2026-12-31,TSLA US Equity,4.62,5.05,5.01,Tesla,-0.07373477624322045
TSM,2016,2016-12-31,TSM US Equity,3.63,3.64,3.93,TSMC,0.31116908777535857
TSM,2017,2017-12-31,TSM US Equity,3.63,3.64,3.93,TSMC,0.4240658211059434
TSM,2018,2018-12-31,TSM US Equity,4.0,2.85,3.87,TSMC,-0.03505815869828233
TSM,2019,2019-12-31,TSM US Equity,4.02,2.83,4.19,TSMC,0.6484191324553719
TSM,2020,2020-12-31,TSM US Equity,3.87,4.06,4.52,TSMC,0.9266836132321603
TSM,2021,2021-12-31,TSM US Equity,3.92,4.95,4.7,TSMC,0.12094643435968222
TSM,2022,2022-12-31,TSM US Equity,4.4,4.85,4.85,TSMC,-0.36748454239180484
TSM,2023,2023-12-31,TSM US Equity,4.31,4.85,4.82,TSMC,0.4232973322943583
TSM,2024,2024-12-31,TSM US Equity,4.57,6.31,5.48,TSMC,0.9258244368259758
TSM,2025,2025-12-31,TSM US Equity,4.57,6.31,5.48,TSMC,0.5594950633214599
TSM,2026,2026-12-31,TSM US Equity,4.57,6.31,5.48,TSMC,0.11734499794534337
