Date,Ticker,Env_Score,Soc_Score,ESG_Score,Entreprise,Yahoo_Ticker,Return,Year,Env_Var,Soc_Var,ESG_Var,Return_Var,Cluster_KMeans_Var
2021-12-31,ENR GR Equity,4.52,2.72,4.24,Siemens Energy,ENR.DE,-0.0405290554962887,2021,0.02494331065759625,0.5722543352601157,0.11578947368421066,-1.1978771586826982,1
2021-12-31,AMZN US Equity,3.79,2.94,4.14,Amazon,AMZN,-0.0492519687882848,2021,0.05277777777777781,0.006849315068493178,0.012224938875305513,-2.7553388148868065,0
2021-12-31,MPWR US Equity,3.56,2.07,3.67,Monolithic Power Systems,MPWR,-0.1075692903078936,2021,0.3333333333333335,-0.15163934426229508,0.09226190476190488,-1.7355715273354306,0
2021-12-31,AMD US Equity,7.09,4.65,6.52,AMD,AMD,-0.0913683252310255,2021,0.055059523809523725,-0.09533073929961078,0.015576323987538832,7.911735321916609,0
2021-12-31,000660 KS Equity,4.65,2.96,4.5,SK Hynix,000660.KS,0.163172046287632,2021,0.13970588235294135,-0.038961038961038974,0.05633802816901423,-0.28377483235032275,0
2021-12-31,6857 JP Equity,6.78,5.12,6.25,Advantest,6857.T,0.0910911585961946,2021,0.049535603715170407,-0.0038910505836574627,0.03993344425956735,0.4070678446920335,0
2021-12-31,LRCX US Equity,4.94,5.04,5.68,Lam Research,LRCX,0.060128132544089,2021,0.03131524008350728,0.01002004008016022,0.007092198581560183,0.30728017329213286,0
2021-12-31,MU US Equity,4.47,5.26,5.68,Micron Technology,MU,0.1101111458672727,2021,0.24166666666666647,-0.18701700154559509,0.007092198581560183,-0.3636588146566978,0
2021-12-31,MSFT US Equity,6.28,3.4,5.47,Microsoft,MSFT,0.017332649214252,2021,0.1115044247787611,0.9653179190751444,0.2048458149779735,-0.5556401160827109,1
2021-12-31,TSLA US Equity,5.62,4.68,5.32,Tesla,TSLA,-0.0768545194785086,2021,1.1048689138576782,-0.05835010060362178,0.33333333333333326,-1.315945730855877,1
2021-12-31,AVGO US Equity,4.4,2.22,4.56,Broadcom,AVGO,0.2094832156756541,2021,3.1904761904761907,0.0,0.504950495049505,1.1030712585055902,1
2021-12-31,META US Equity,7.61,1.84,4.26,Meta Platforms,META,0.0366455158733241,2021,0.035374149659864074,0.5593220338983051,0.13297872340425543,-3.6639879244148843,1
2021-12-31,CLS CN Equity,4.75,6.16,5.81,Celestica,CLS,0.0879765994601251,2021,0.09195402298850586,-0.07784431137724546,-0.02352941176470602,0.226786007719062,0
2021-12-31,LITE US Equity,1.0,2.62,3.33,Lumentum,LITE,0.2189696984564566,2021,0.0,0.0650406504065042,0.07073954983922826,1.2463882334831462,0
2022-12-31,TSLA US Equity,4.62,4.66,5.03,Tesla,TSLA,-0.3673343490707852,2022,-0.1779359430604982,-0.004273504273504147,-0.05451127819548873,3.7796063466834324,0
2022-12-31,META US Equity,7.43,1.86,4.18,Meta Platforms,META,0.0189670030157642,2022,-0.02365308804205002,0.010869565217391353,-0.018779342723004744,-0.48241953855066,0
