Date,NVDA US Equity,AVGO US Equity,TSM US Equity,GOOGL US Equity,000660 KS Equity,LRCX US Equity,6857 JP Equity,TSEM IT Equity,MSFT US Equity,LITE US Equity,AMD US Equity,FN US Equity,SNOW US Equity,MU US Equity,TSLA US Equity,9984 JP Equity,CRDO US Equity,ENR GR Equity,MPWR US Equity,2383 TT Equity,CLS CN Equity,META US Equity,AMZN US Equity
2020-08-31,6.67,0.0,3.87,4.4,3.51,4.79,6.46,1.79,5.65,1.0,6.89,,,3.79,1.95,2.75,,,1.37,,3.37,5.83,3.29
2020-09-30,6.67,0.0,3.87,4.4,3.51,4.79,6.46,1.79,5.65,1.0,6.89,,,3.6,1.95,2.75,,4.41,1.37,,3.37,5.83,3.29
2020-10-30,6.67,0.0,3.87,4.4,3.51,4.79,6.46,1.79,5.65,1.0,6.89,,,3.6,1.95,2.75,,4.41,1.37,,3.37,5.83,3.29
2020-11-30,6.67,1.05,3.87,4.4,3.51,4.79,6.46,1.79,5.65,1.0,6.89,,,3.6,1.95,2.75,,4.41,1.37,,3.37,5.83,3.29
2020-12-31,6.67,1.05,3.92,5.2,4.08,4.79,6.46,2.4,5.65,1.0,6.72,,,3.6,2.67,2.75,,4.41,2.67,,4.35,7.35,3.6
2021-01-29,6.55,1.05,3.92,5.2,4.08,4.79,6.46,2.4,5.65,1.0,6.72,,0.0,3.6,2.67,2.75,,4.41,2.67,,4.35,7.35,3.6
2021-02-26,6.55,1.05,3.92,5.2,4.08,4.79,6.46,2.4,5.65,1.0,6.72,,0.0,3.6,2.67,2.75,,4.41,2.67,,4.35,7.35,3.6
2021-03-31,6.55,1.05,3.92,5.2,4.08,4.79,6.78,2.4,5.65,1.0,6.72,,0.0,3.6,2.67,3.21,,4.41,2.67,,4.35,7.35,3.6
2021-04-30,6.55,1.05,3.92,5.2,4.08,4.79,6.78,2.4,5.65,1.0,6.72,,0.0,3.6,2.67,3.21,,4.41,2.67,,4.35,7.35,3.6
2021-05-31,6.55,1.05,3.92,5.2,4.08,4.79,6.78,2.4,5.65,1.0,6.72,,0.0,3.6,2.67,3.21,,4.41,2.67,,4.35,7.35,3.6
2021-06-30,6.55,1.05,3.92,5.2,4.08,4.94,6.78,2.4,6.28,1.0,6.72,2.76,0.0,3.6,2.67,3.21,,4.41,2.67,,4.35,7.35,3.6
2021-07-30,6.55,1.05,3.92,5.2,4.08,4.94,6.78,2.4,6.28,1.0,6.72,2.76,0.0,3.6,2.67,3.21,,4.41,2.67,,4.35,7.35,3.6
2021-08-31,6.55,1.05,3.92,5.2,4.08,4.94,6.78,2.4,6.28,1.0,6.72,2.76,0.0,3.6,2.67,3.21,,4.41,2.67,,4.35,7.35,3.6
2021-09-30,6.55,1.05,3.92,5.2,4.08,4.94,6.78,2.4,6.28,1.0,6.72,2.76,0.0,4.47,2.67,3.21,,4.52,2.67,,4.35,7.35,3.6
2021-10-29,6.55,4.4,3.92,5.2,4.08,4.94,6.78,2.4,6.28,1.0,6.72,2.76,0.0,4.47,2.67,3.21,,4.52,2.67,,4.35,7.35,3.6
