Date,NVDA US Equity,AVGO US Equity,TSM US Equity,GOOGL US Equity,000660 KS Equity,LRCX US Equity,6857 JP Equity,TSEM IT Equity,MSFT US Equity,LITE US Equity,AMD US Equity,FN US Equity,SNOW US Equity,MU US Equity,TSLA US Equity,9984 JP Equity,CRDO US Equity,ENR GR Equity,MPWR US Equity,2383 TT Equity,CLS CN Equity,META US Equity,AMZN US Equity
2023-09-29,6.66,4.64,4.82,4.35,5.05,5.08,6.9,3.2,5.12,3.73,6.5,2.51,1.93,5.63,5.03,3.43,2.12,4.03,4.11,4.13,6.1,4.18,4.32
2023-10-31,6.66,4.82,4.82,4.35,5.05,5.08,6.9,3.2,5.12,3.73,6.5,2.51,1.93,5.63,5.03,3.43,2.12,4.03,4.11,4.13,6.1,4.18,4.32
2023-11-30,6.66,4.82,4.82,4.35,5.05,5.08,6.9,3.2,5.12,3.73,6.5,2.51,1.93,5.63,5.03,3.43,2.12,4.03,4.11,4.13,6.1,4.18,4.32
2023-12-29,6.66,4.82,5.48,4.26,4.66,5.08,6.9,3.99,5.12,3.73,6.85,2.51,1.93,5.63,5.09,3.43,2.12,4.03,4.49,4.19,6.12,4.23,4.36
2024-01-31,6.81,4.82,5.48,4.26,4.66,5.08,6.9,3.99,5.12,3.73,6.85,2.51,1.87,5.63,5.09,3.43,2.12,4.03,4.49,4.19,6.12,4.23,4.36
2024-02-29,6.81,4.82,5.48,4.26,4.66,5.08,6.9,3.99,5.12,3.73,6.85,2.51,1.87,5.63,5.09,3.43,2.12,4.03,4.49,4.19,6.12,4.23,4.36
2024-03-29,6.81,4.82,5.48,4.26,4.66,5.08,7.07,3.99,5.12,3.73,6.85,2.51,1.87,5.63,5.09,3.92,2.12,4.03,4.49,4.19,6.12,4.23,4.36
2024-04-30,6.81,4.82,5.48,4.26,4.66,5.08,7.07,3.99,5.12,3.73,6.85,2.51,1.87,5.63,5.09,3.92,2.15,4.03,4.49,4.19,6.12,4.23,4.36
2024-05-31,6.81,4.82,5.48,4.26,4.66,5.08,7.07,3.99,5.12,3.73,6.85,2.51,1.87,5.63,5.09,3.92,2.15,4.03,4.49,4.19,6.12,4.23,4.36
2024-06-28,6.81,4.82,5.48,4.26,4.66,4.96,7.07,3.99,5.12,3.73,6.85,2.8,1.87,5.63,5.09,3.92,2.15,4.03,4.49,4.19,6.12,4.23,4.36
2024-07-31,6.81,4.82,5.48,4.26,4.66,4.96,7.07,3.99,5.12,3.73,6.85,2.8,1.87,5.63,5.09,3.92,2.15,4.03,4.49,4.19,6.12,4.23,4.36
2024-08-30,6.81,4.82,5.48,4.26,4.66,4.96,7.07,3.99,5.12,3.73,6.85,2.8,1.87,5.63,5.09,3.92,2.15,4.03,4.49,4.19,6.12,4.23,4.36
2024-09-30,6.81,4.82,5.48,4.26,4.66,4.96,7.07,3.99,5.12,3.73,6.85,2.8,1.87,5.63,5.09,3.92,2.15,4.03,4.49,4.19,6.12,4.23,4.36
