Yahoo_Ticker,Year,Date,Ticker,Env_Score,Soc_Score,ESG_Score,Entreprise,Return,Env_Var,Soc_Var,ESG_Var,Return_Var,Cluster_KMeans_Var
AMD,2021,2021-12-31,AMD US Equity,7.09,4.65,6.52,AMD,0.5690763857051218,0.029027576197387495,-0.22628951747088177,-0.025411061285500858,-0.43079947078943015,0
9984.T,2021,2021-12-31,9984 JP Equity,2.75,1.91,2.94,SoftBank,-0.3218012831675467,0.0,0.0,0.0,-1.4533323667928935,0
LITE,2021,2021-12-31,LITE US Equity,1.0,2.46,3.11,Lumentum,0.1157172282507135,0.0,0.0,0.0,-0.4079757062308037,0
000660.KS,2021,2021-12-31,000660 KS Equity,4.08,3.08,4.26,SK Hynix,0.1190009915974432,0.16239316239316248,-0.03749999999999998,0.08121827411167515,-0.5627947560099023,0
TSEM,2021,2021-12-31,TSEM IT Equity,1.26,2.29,2.82,Tower Semiconductor,0.5367932135618843,-0.2960893854748603,0.4135802469135801,-0.02422145328719738,6.338206109112691,0
GOOGL,2021,2021-12-31,GOOGL US Equity,5.2,2.49,4.2,Alphabet (Google),0.6529577977762744,0.18181818181818166,0.5090909090909093,0.21387283236994237,1.1163080565791348,1
TSLA,2021,2021-12-31,TSLA US Equity,5.62,4.68,5.32,Tesla,0.4975555924013577,1.882051282051282,0.07834101382488479,0.52,-0.933073603276395,1
AMZN,2022,2022-12-31,AMZN US Equity,4.35,2.96,4.32,Amazon,-0.4961521476592685,0.20833333333333326,0.013698630136986356,0.05623471882640607,-21.87499471601887,0
MSFT,2022,2022-12-31,MSFT US Equity,6.1,4.33,5.87,Microsoft,-0.2802474267061754,-0.02866242038216571,0.273529411764706,0.07312614259597816,-1.5340396169247843,0
MPWR,2022,2022-12-31,MPWR US Equity,3.56,2.07,3.67,Monolithic Power Systems,-0.2777922185588837,0.0,0.0,0.0,-1.782777144261762,0
GOOGL,2022,2022-12-31,GOOGL US Equity,5.2,2.51,4.24,Alphabet (Google),-0.3908955932460276,0.0,0.008032128514056103,0.00952380952380949,-1.5986536872325732,0
AVGO,2022,2022-12-31,AVGO US Equity,4.4,2.22,4.56,Broadcom,-0.1326966584470615,3.1904761904761907,0.0,0.504950495049505,-1.2349241249465237,1
TSM,2022,2022-12-31,TSM US Equity,4.4,4.85,4.85,TSMC,-0.3674845423918048,0.12244897959183687,-0.020202020202020332,0.03191489361702127,-4.038407410167576,0
MU,2022,2022-12-31,MU US Equity,4.92,5.73,5.96,Micron Technology,-0.4592973606937932,0.3666666666666667,-0.1143740340030911,0.05673758865248235,-2.8972874767985966,0
9984.T,2022,2022-12-31,9984 JP Equity,3.81,1.99,3.42,SoftBank,0.0474805948016217,0.3854545454545455,0.041884816753926746,0.16326530612244894,-1.1475463190645538,0
