Date,Ticker,Env_Score,Soc_Score,ESG_Score,Entreprise,Yahoo_Ticker,Return,ESG_Quartile,Cluster_KMeans,Cluster_DBSCAN,Year,Period
2016-08-31,AVGO US Equity,0.0,1.43,1.89,Broadcom,AVGO,0.0891468549790897,Q1,1,5,2016,pre2020
2016-09-30,AVGO US Equity,0.0,1.43,1.89,Broadcom,AVGO,-0.0191569683336187,Q1,1,5,2016,pre2020
2016-10-31,AVGO US Equity,0.0,1.43,1.89,Broadcom,AVGO,-0.0129840277634019,Q1,1,5,2016,pre2020
2016-11-30,AVGO US Equity,0.0,1.43,1.89,Broadcom,AVGO,0.0012330113497278,Q1,1,5,2016,pre2020
2016-12-31,AVGO US Equity,0.0,1.43,1.89,Broadcom,AVGO,0.0427627394461818,Q1,1,5,2016,pre2020
2017-01-31,AVGO US Equity,0.0,1.43,1.89,Broadcom,AVGO,0.1285848431857994,Q1,1,5,2017,pre2020
2017-02-28,AVGO US Equity,0.0,1.43,1.89,Broadcom,AVGO,0.0572933860882676,Q1,1,5,2017,pre2020
2017-03-31,AVGO US Equity,0.0,1.43,1.89,Broadcom,AVGO,0.0427774185468039,Q1,1,5,2017,pre2020
2017-04-30,AVGO US Equity,0.0,1.43,1.89,Broadcom,AVGO,0.0084489763768091,Q1,1,5,2017,pre2020
2017-05-31,AVGO US Equity,0.0,1.43,1.89,Broadcom,AVGO,0.0845525605322261,Q1,1,5,2017,pre2020
2017-06-30,AVGO US Equity,0.0,1.43,1.89,Broadcom,AVGO,-0.0227058620903122,Q1,1,5,2017,pre2020
2017-07-31,AVGO US Equity,0.0,1.43,1.89,Broadcom,AVGO,0.0583993740038499,Q1,1,5,2017,pre2020
2017-08-31,AVGO US Equity,0.0,1.43,1.89,Broadcom,AVGO,0.0219332738072253,Q1,1,5,2017,pre2020
2017-09-30,AVGO US Equity,0.0,1.43,1.89,Broadcom,AVGO,-0.0338736993983638,Q1,1,5,2017,pre2020
2017-10-31,AVGO US Equity,0.0,1.43,1.67,Broadcom,AVGO,0.0881091252135743,Q1,1,5,2017,pre2020
2017-11-30,AVGO US Equity,0.0,1.43,1.67,Broadcom,AVGO,0.0531620006326565,Q1,1,5,2017,pre2020
2017-12-31,AVGO US Equity,0.0,1.43,1.67,Broadcom,AVGO,-0.0695723515375735,Q1,1,5,2017,pre2020
2018-01-31,AVGO US Equity,0.0,1.43,1.67,Broadcom,AVGO,-0.0345272790299829,Q1,1,5,2018,pre2020
